stimulus_id,base_id,onset,medial,nucleus,coda,ipa,pinyin,pinyin_number,ascii,tone,is_attested,is_rare,rarity,source_row,original_line_number
bing3,bing,p,,i,ŋ,piŋ,bǐng,bing3,bing,3,unknown,False,common,37,41
bing4,bing,p,,i,ŋ,piŋ,bìng,bing4,bing,4,unknown,False,common,37,41
bing5,bing,p,,i,ŋ,piŋ,bing,bing5,bing,5,unknown,False,common,37,41
bu1,bu,p,,u,,pu,bū,bu1,bu,1,unknown,False,common,38,42
bu2,bu,p,,u,,pu,bú,bu2,bu,2,unknown,False,common,38,42
bu3,bu,p,,u,,pu,bǔ,bu3,bu,3,unknown,False,common,38,42
bu4,bu,p,,u,,pu,bù,bu4,bu,4,unknown,False,common,38,42
bu5,bu,p,,u,,pu,bu,bu5,bu,5,unknown,False,common,38,42
bo1,bo,p,,ə,,puo,bō,bo1,bo,1,unknown,False,common,39,46
bo2,bo,p,,ə,,puo,bó,bo2,bo,2,unknown,False,common,39,46
bo3,bo,p,,ə,,puo,bǒ,bo3,bo,3,unknown,False,common,39,46
bo4,bo,p,,ə,,puo,bò,bo4,bo,4,unknown,False,common,39,46
bo5,bo,p,,ə,,puo,bo,bo5,bo,5,unknown,False,common,39,46
bei1,bei,p,,ə,i,pei,bēi,bei1,bei,1,unknown,False,common,40,47
bei2,bei,p,,ə,i,pei,béi,bei2,bei,2,unknown,False,common,40,47
bei3,bei,p,,ə,i,pei,běi,bei3,bei,3,unknown,False,common,40,47
bei4,bei,p,,ə,i,pei,bèi,bei4,bei,4,unknown,False,common,40,47
bei5,bei,p,,ə,i,pei,bei,bei5,bei,5,unknown,False,common,40,47
ben1,ben,p,,ə,n,pən,bēn,ben1,ben,1,unknown,False,common,41,49
ben2,ben,p,,ə,n,pən,bén,ben2,ben,2,unknown,False,common,41,49
ben3,ben,p,,ə,n,pən,běn,ben3,ben,3,unknown,False,common,41,49
ben4,ben,p,,ə,n,pən,bèn,ben4,ben,4,unknown,False,common,41,49
ben5,ben,p,,ə,n,pən,ben,ben5,ben,5,unknown,False,common,41,49
beng1,beng,p,,ə,ŋ,pəŋ,bēng,beng1,beng,1,unknown,False,common,42,50
beng2,beng,p,,ə,ŋ,pəŋ,béng,beng2,beng,2,unknown,False,common,42,50
beng3,beng,p,,ə,ŋ,pəŋ,běng,beng3,beng,3,unknown,False,common,42,50
beng4,beng,p,,ə,ŋ,pəŋ,bèng,beng4,beng,4,unknown,False,common,42,50
beng5,beng,p,,ə,ŋ,pəŋ,beng,beng5,beng,5,unknown,False,common,42,50
ba1,ba,p,,a,,pa,bā,ba1,ba,1,unknown,False,common,43,51
ba2,ba,p,,a,,pa,bá,ba2,ba,2,unknown,False,common,43,51
ba3,ba,p,,a,,pa,bǎ,ba3,ba,3,unknown,False,common,43,51
ba4,ba,p,,a,,pa,bà,ba4,ba,4,unknown,False,common,43,51
ba5,ba,p,,a,,pa,ba,ba5,ba,5,unknown,False,common,43,51
bai1,bai,p,,a,i,pai,bāi,bai1,bai,1,unknown,False,common,44,52
bai2,bai,p,,a,i,pai,bái,bai2,bai,2,unknown,False,common,44,52
bai3,bai,p,,a,i,pai,bǎi,bai3,bai,3,unknown,False,common,44,52
bai4,bai,p,,a,i,pai,bài,bai4,bai,4,unknown,False,common,44,52
bai5,bai,p,,a,i,pai,bai,bai5,bai,5,unknown,False,common,44,52
bao1,bao,p,,a,u,pau,bāo,bao1,bao,1,unknown,False,common,45,53
bao2,bao,p,,a,u,pau,báo,bao2,bao,2,unknown,False,common,45,53
bao3,bao,p,,a,u,pau,bǎo,bao3,bao,3,unknown,False,common,45,53
bao4,bao,p,,a,u,pau,bào,bao4,bao,4,unknown,False,common,45,53
bao5,bao,p,,a,u,pau,bao,bao5,bao,5,unknown,False,common,45,53
ban1,ban,p,,a,n,pan,bān,ban1,ban,1,unknown,False,common,46,54
ban2,ban,p,,a,n,pan,bán,ban2,ban,2,unknown,False,common,46,54
ban3,ban,p,,a,n,pan,bǎn,ban3,ban,3,unknown,False,common,46,54
ban4,ban,p,,a,n,pan,bàn,ban4,ban,4,unknown,False,common,46,54
ban5,ban,p,,a,n,pan,ban,ban5,ban,5,unknown,False,common,46,54
bang1,bang,p,,a,ŋ,paŋ,bāng,bang1,bang,1,unknown,False,common,47,55
bang2,bang,p,,a,ŋ,paŋ,báng,bang2,bang,2,unknown,False,common,47,55
